track_id,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
75NPgaRFGvx1UFteD7yNZ6,Triumph,Big Conspiracy,J Hus,2020-01-24,170106,54,0.0725,0.704,0.662,0.0,0.105,-5.926,0.215,94.063,4
63Sb1AMnhb37DR59uXZdQd,Princess Cuts (feat. Young T & Bugsey),EDNA,Headie One,2020-10-09,185080,63,0.196,0.576,0.597,0.0,0.049,-6.659,0.318,101.174,4
115OL2ZaNEl3eXhY5GphtW,Roots,Roots,NSG,2020-06-19,190240,37,0.422,0.73,0.715,0.000827,0.143,-5.215,0.214,102.846,4
60eJ3MVSGh1Wias2xfZVdp,+44,+44,Lotto Boyzz,2020-03-11,222350,54,0.488,0.677,0.649,0.0,0.187,-4.9,0.224,105.332,4
5DCoLPjn4bBNmf41iVG5Vh,1985,1985,Juls,2020-12-18,170501,42,0.225,0.711,0.619,0.00584,0.0996,-10.797,0.0564,107.033,4
3AMxuq6id3YGB57eWeheZQ,Don't Rush (feat. DaBaby),Don't Rush (feat. DaBaby),Young T & Bugsey,2020-06-12,201960,62,0.144,0.959,0.508,9.82e-05,0.136,-7.857,0.257,107.998,4
4DmgUMnnCw27Tu5Jvqhm1n,What Do You Mean?,Ignorance is Bliss,Skepta,2019-05-31,211120,61,0.0482,0.738,0.521,5.75e-06,0.108,-8.909,0.495,192.003,4
4Dech2aFB9vMxRFF4rJAM1,Airplane Mode (feat. NSG),Crabs In A Bucket,Nines,2020-08-28,237784,57,0.0343,0.593,0.701,0.0,0.0841,-4.587,0.32,134.814,5
5vIXEk3u02WHbcD0h2ozhm,Must Be,Big Conspiracy,J Hus,2020-01-24,208426,57,0.0302,0.561,0.71,0.0,0.122,-4.676,0.351,99.011,4
2NwRZNRIlPt0qneUynCtro,parlé,parlé,One Acen,2020-11-30,160580,50,0.278,0.886,0.511,0.0,0.103,-8.854,0.264,105.03,4
23VmCwnw95Zqbeapi31iGt,Tinder,Roots,NSG,2020-06-19,216520,40,0.194,0.865,0.531,0.0817,0.114,-5.688,0.32,99.947,4
4HTKztrMHpvn2sAl4HcK3J,Bad (feat. Aitch),Bad (feat. Aitch),Pa Salieu,2021-10-14,206261,44,0.131,0.813,0.727,0.0,0.127,-2.84,0.243,110.268,4
2Xs2HQqDDb00tsaWFYKyXt,EIO (feat. Hardy Caprio),EIO (feat. Hardy Caprio),One Acen,2018-06-07,195662,46,0.672,0.739,0.449,0.0,0.116,-8.415,0.0584,157.956,4
