track_id,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
3z7BTaXr5U273eXviBVcuy,147100,35,0.538,0.73,0.599,0.00774,0.153,-5.764,0.127,92.035,4,0
1RHFgbaMxkM3dVYHBrg7Me,192000,52,0.857,0.789,0.617,0.0248,0.111,-6.007,0.0934,90.082,4,0
1VFr2wpUYKHrB0my1myhTJ,193893,31,0.59,0.729,0.53,1.01e-06,0.0825,-6.644,0.133,106.795,4,0
03JO5cdd662kYtWibDsFg8,202500,38,0.224,0.772,0.584,0.00287,0.0904,-6.179,0.102,95.951,4,0
70kcyUtKiW35JxLa1hnwSJ,197326,34,0.664,0.726,0.348,0.000245,0.164,-7.737,0.13,102.013,4,0
4juCGGRuzfvZGlu1D2FvzJ,166635,19,0.0377,0.639,0.713,0.00404,0.148,-3.837,0.0716,188.127,4,0
319xYgRF9JFpGLTtiCDhC7,194594,60,0.0194,0.825,0.738,0.0,0.294,-5.612,0.166,110.906,4,0
42KrZrk0IG0zFPzVkRNqh0,172000,61,0.716,0.536,0.51,1.2e-05,0.0964,-8.809,0.152,159.965,4,0
5EIVA0ZDr605FzZpnskzBc,245874,49,0.416,0.821,0.38,2.53e-05,0.0952,-7.989,0.0502,95.004,4,0
1ePHqUkosKq7ZgQMz655Cw,200940,41,0.69,0.714,0.482,2.01e-05,0.266,-6.884,0.0736,97.044,4,0
5NT67c2bpzilrBSc73JEoc,165333,48,0.578,0.924,0.579,0.000808,0.0859,-8.115,0.429,120.055,3,0
2xevjnP2BeD0EdqpkrDHZT,191555,32,0.18,0.75,0.739,0.000474,0.129,-7.039,0.229,104.007,4,0
19FcrKMpCp4bZOxcPkTMsZ,144000,49,0.851,0.666,0.42,0.534,0.11,-6.699,0.0829,133.015,5,0
6gHUiXF4BiJ9d7biTNmdKR,161684,62,0.307,0.607,0.586,1.51e-06,0.287,-5.698,0.15,126.715,5,0
6AxDznMdamFBbRw8LAGWQd,192428,42,0.185,0.815,0.767,0.00675,0.109,-5.011,0.135,140.009,4,0
4e0nFC5a95gFWJUzrQ8ggy,170217,48,0.649,0.67,0.614,0.00579,0.119,-7.623,0.3,183.851,4,0
6l5WDlZzjAXWEA47969TXI,298997,53,0.00167,0.863,0.449,0.0235,0.0585,-12.521,0.0622,112.043,4,0
5JayOLFuofunaBCIjissQL,194586,39,0.153,0.583,0.776,1.08e-06,0.136,-5.102,0.121,193.936,4,0
26AI33STXsKwtuV9hmzDPG,179852,47,0.367,0.543,0.739,0.199,0.121,-6.008,0.0623,199.974,4,0
0BVaNH5prNNveWy81VIC6S,243367,44,0.0544,0.89,0.758,0.00454,0.123,-7.987,0.23,143.97,4,0
5lF0OJHp09PfZofnC9ZrBH,161828,47,0.555,0.561,0.307,0.00663,0.127,-13.394,0.283,95.035,4,0
